repo_name,ref,path,symlink_target,docker_base_image,repo_owner,repo
bearstech/moby,refs/heads/master,contrib/syscall-test/Dockerfile,,debian:bullseye-slim,bearstech,moby
legacysurvey/pipeline,refs/heads/main,.circleci/circleci-build-ubuntu18.04/Dockerfile,,ubuntu:18.04,legacysurvey,pipeline
legacysurvey/pipeline,refs/heads/main,.circleci/circleci-build-ubuntu20.04/Dockerfile,,ubuntu:20.04,legacysurvey,pipeline
EvilBeaver/oscript-infrastructure,refs/heads/master,web/nginx/Dockerfile,,ubuntu:16.04,EvilBeaver,oscript-infrastructure
allCloud/wordpress,refs/heads/master,Dockerfile,,ubuntu:trusty,allCloud,wordpress
anaruse/chainer,refs/heads/master,docker/intel/python2/Dockerfile,,ubuntu:16.04,anaruse,chainer
anaruse/chainer,refs/heads/master,docker/intel/python3/Dockerfile,,ubuntu:16.04,anaruse,chainer
UoM-ResPlat-DevOps/docker-owncloud,refs/heads/master,Dockerfile,,ubuntu:14.04,UoM-ResPlat-DevOps,docker-owncloud
banjocat/docker-devops-examples,refs/heads/master,nagios/Dockerfile,,ubuntu:trusty,banjocat,docker-devops-examples
banjocat/docker-devops-examples,refs/heads/master,teleport/teleport/Dockerfile,,ubuntu:trusty,banjocat,docker-devops-examples
banjocat/docker-devops-examples,refs/heads/master,sensu/sensu/Dockerfile,,ubuntu:xenial,banjocat,docker-devops-examples
jbush001/NyuziProcessor,refs/heads/master,scripts/Dockerfile,,ubuntu:16.04,jbush001,NyuziProcessor
emunshi/docker_ubuntu,refs/heads/master,Dockerfile,,ubuntu:14.04.3,emunshi,docker_ubuntu
lexiebartlettt/CMPUT404-assignment-websockets,refs/heads/master,marking/Dockerfile,,ubuntu:trusty,lexiebartlettt,CMPUT404-assignment-websockets
